#X,SUBCASE - RANDOM DISTRIBUTED ACOUSTIC PLANE WAVES 1_ Group 3_ BOTTOMAML
#Frequency(Hz),General/Unknown()_Real
20.000000,21.498043
25.000000,22.306864
30.000000,24.653496
35.000000,13.419827
40.000000,18.577644
45.000000,19.693905
50.000000,20.465158
55.000000,21.594400
60.000000,25.181746
65.000000,12.446517
70.000000,15.783425
75.000000,17.783390
80.000000,19.762312
85.000000,15.938072
90.000000,16.903734
95.000000,17.478886
100.000000,18.135086
105.000000,18.593260
110.000000,18.960443
115.000000,19.016106
120.000000,19.138527
125.000000,19.632017
130.000000,20.015070
135.000000,20.404501
140.000000,20.415716
145.000000,20.769756
150.000000,21.307968
155.000000,21.865698
160.000000,20.588223
165.000000,21.334265
170.000000,22.385237
175.000000,21.487518
180.000000,18.940567
185.000000,19.585287
190.000000,19.985466
195.000000,20.533932
200.000000,20.890066
205.000000,20.510958
210.000000,20.636009
215.000000,20.976606
220.000000,21.245504
225.000000,21.373682
230.000000,21.598280
235.000000,21.837391
240.000000,22.069714
245.000000,22.268682
250.000000,22.141939
255.000000,21.569420
260.000000,21.566645
265.000000,21.793211
270.000000,22.108414
275.000000,22.328381
280.000000,22.477081
285.000000,22.664078
290.000000,22.859840
295.000000,23.040703
300.000000,23.201139
305.000000,23.373262
310.000000,23.467730
315.000000,23.316870
320.000000,23.336018
325.000000,23.530331
330.000000,23.718754
335.000000,23.814426
340.000000,23.821798
345.000000,23.831512
350.000000,23.828079
355.000000,23.884743
360.000000,24.057472
365.000000,24.186876
370.000000,24.304214
375.000000,24.334045
380.000000,24.286697
385.000000,24.403460
390.000000,24.569593
395.000000,24.695599
400.000000,24.810135
405.000000,24.957230
410.000000,25.104126
415.000000,25.250793
420.000000,25.409145
425.000000,25.568272
430.000000,25.709198
435.000000,25.771093
440.000000,25.649456
445.000000,25.462742
450.000000,25.367105
455.000000,25.426363
460.000000,25.504498
465.000000,25.562054
470.000000,25.686953
475.000000,25.842545
480.000000,25.991152
485.000000,26.131174
490.000000,26.266825
495.000000,26.398527
500.000000,26.527386
505.000000,26.644245
510.000000,26.739912
515.000000,26.829729
520.000000,26.942411
525.000000,27.051590
