#X,SUBCASE - RANDOM DISTRIBUTED ACOUSTIC PLANE WAVES 1_ Group 3_ AUTOMATICALLY MATCHED LAYER(1)
#Frequency(Hz),General/Unknown()_Real
20.000000,10.590088
25.000000,19.700802
30.000000,21.916124
35.000000,22.833128
40.000000,23.297501
45.000000,23.649532
50.000000,23.974100
55.000000,24.373764
60.000000,25.182745
65.000000,26.879826
70.000000,32.046215
75.000000,14.717206
80.000000,19.138613
85.000000,20.835150
90.000000,21.782694
95.000000,22.575451
100.000000,23.505608
105.000000,24.963806
110.000000,28.049196
115.000000,22.714914
120.000000,15.056041
125.000000,17.773798
130.000000,19.244473
135.000000,20.100622
140.000000,20.563129
145.000000,21.086918
150.000000,21.534292
155.000000,21.957624
160.000000,22.407436
165.000000,22.953760
170.000000,23.520267
175.000000,22.858946
180.000000,23.798727
185.000000,21.977755
190.000000,20.491453
195.000000,21.283056
200.000000,21.678654
205.000000,21.548573
210.000000,22.155069
215.000000,22.623756
220.000000,22.858469
225.000000,22.927179
230.000000,23.194601
235.000000,23.445450
240.000000,23.677700
245.000000,23.907255
250.000000,24.135962
255.000000,24.271017
260.000000,23.763330
265.000000,23.294258
270.000000,23.698759
275.000000,24.077152
280.000000,24.351143
285.000000,24.551432
290.000000,24.822723
295.000000,25.108232
300.000000,25.408157
305.000000,25.695145
310.000000,25.414602
315.000000,23.910870
320.000000,23.619705
325.000000,24.069008
330.000000,24.381996
335.000000,24.308167
340.000000,24.412628
345.000000,24.600422
350.000000,24.545927
355.000000,24.573675
360.000000,24.770906
365.000000,24.981117
370.000000,25.174271
375.000000,25.368097
380.000000,25.531588
385.000000,25.642969
390.000000,25.775394
395.000000,25.942053
400.000000,26.112148
405.000000,26.276392
410.000000,26.423933
415.000000,26.576496
420.000000,26.762135
425.000000,26.958046
430.000000,27.121964
435.000000,27.128311
440.000000,26.719488
445.000000,26.000570
450.000000,25.637150
455.000000,25.688850
460.000000,25.806456
465.000000,25.926388
470.000000,26.139927
475.000000,26.347799
480.000000,26.479412
485.000000,26.601776
490.000000,26.754436
495.000000,26.915148
500.000000,27.080774
505.000000,27.241856
510.000000,27.391481
515.000000,27.532396
520.000000,27.669302
525.000000,27.802599
530.000000,27.924160
535.000000,28.038143
540.000000,28.138380
545.000000,28.176163
550.000000,28.126204
555.000000,28.107916
560.000000,28.197634
565.000000,28.328220
570.000000,28.431223
575.000000,28.459534
580.000000,28.434866
585.000000,28.462421
590.000000,28.547882
595.000000,28.641993
600.000000,28.759747
605.000000,28.906916
610.000000,29.054857
615.000000,29.178032
620.000000,29.286646
625.000000,29.407442
630.000000,29.545650
635.000000,29.685717
640.000000,29.812477
645.000000,29.922045
650.000000,30.032202
655.000000,30.160030
660.000000,30.295511
665.000000,30.426653
670.000000,30.558294
675.000000,30.702940
680.000000,30.858053
685.000000,31.012722
690.000000,31.156782
695.000000,31.284018
700.000000,31.402052
705.000000,31.522367
710.000000,31.653654
715.000000,31.792505
720.000000,31.939501
725.000000,32.106533
730.000000,32.298237
735.000000,32.511398
740.000000,32.745079
745.000000,32.994736
750.000000,33.252293
755.000000,33.509571
760.000000,33.761475
765.000000,34.014057
770.000000,34.286983
775.000000,34.597950
780.000000,34.950855
785.000000,35.342060
790.000000,35.767197
795.000000,36.225636
800.000000,36.721478
805.000000,37.260880
810.000000,37.850758
815.000000,38.491882
820.000000,39.171257
825.000000,39.851711
830.000000,40.455463
835.000000,40.855705
840.000000,40.889938
845.000000,40.434597
850.000000,39.494606
855.000000,38.198322
860.000000,36.700905
865.000000,35.117943
870.000000,33.514591
875.000000,31.919617
880.000000,30.344463
885.000000,28.790277
890.000000,27.258268
895.000000,25.751400
900.000000,24.283730
905.000000,22.883224
910.000000,21.599714
915.000000,20.505697
920.000000,19.679829
925.000000,19.179411
930.000000,19.006071
935.000000,19.102188
940.000000,19.385057
945.000000,19.776529
950.000000,20.218811
955.000000,20.676603
960.000000,21.126976
965.000000,21.558908
970.000000,21.967243
975.000000,22.347837
980.000000,22.699709
985.000000,23.025127
990.000000,23.329557
995.000000,23.610060
1000.000000,23.923376
1005.000000,24.169258
1010.000000,24.401636
1015.000000,24.622765
1020.000000,24.832605
1025.000000,25.032518
1030.000000,25.220995
1035.000000,25.399364
1040.000000,25.570164
1045.000000,25.733398
1050.000000,25.887585
1055.000000,26.035267
1060.000000,26.173618
1065.000000,26.303795
1070.000000,26.421307
1075.000000,26.522928
1080.000000,26.610991
1085.000000,26.689236
1090.000000,26.764936
1095.000000,26.841568
1100.000000,26.921202
1105.000000,27.002035
1110.000000,27.079752
1115.000000,27.153603
1120.000000,27.225323
1125.000000,27.300316
1130.000000,27.379841
1135.000000,27.461115
1140.000000,27.538229
1145.000000,27.613941
1150.000000,27.687284
1155.000000,27.764847
1160.000000,27.848352
1165.000000,27.936893
1170.000000,28.025658
1175.000000,28.110647
1180.000000,28.189539
1185.000000,28.259529
1190.000000,28.318813
1195.000000,28.372406
1200.000000,28.425591
1205.000000,28.484152
1210.000000,28.549311
1215.000000,28.620378
1220.000000,28.693100
1225.000000,28.764313
1230.000000,28.828533
1235.000000,28.880625
1240.000000,28.917776
1245.000000,28.937435
1250.000000,28.940275
1255.000000,28.932560
1260.000000,28.922091
1265.000000,28.915802
1270.000000,28.919645
1275.000000,28.935139
1280.000000,28.960587
1285.000000,28.993071
1290.000000,29.030077
1295.000000,29.070793
1300.000000,29.116936
1305.000000,29.169012
1310.000000,29.227348
1315.000000,29.290075
1320.000000,29.353970
1325.000000,29.416662
1330.000000,29.475498
1335.000000,29.530224
1340.000000,29.580639
1345.000000,29.629057
1350.000000,29.677464
1355.000000,29.726185
1360.000000,29.774961
1365.000000,29.823496
1370.000000,29.871639
1375.000000,29.919361
1380.000000,29.966675
1385.000000,30.013124
1390.000000,30.057598
