#X,SUBCASE - RANDOM DISTRIBUTED ACOUSTIC PLANE WAVES 1_ Group 3_ BOTTOMAML_NEW
#Frequency(Hz),General/Unknown()_Real
20.000000,53.663128
25.000000,52.618130
30.000000,48.505840
35.000000,44.677723
40.000000,41.152447
45.000000,37.757423
50.000000,34.385235
55.000000,30.889656
60.000000,27.058239
65.000000,22.501204
70.000000,16.180042
75.000000,5.028662
80.000000,11.344975
85.000000,16.739798
90.000000,19.565643
95.000000,21.350952
100.000000,22.593630
105.000000,23.511789
110.000000,24.219042
115.000000,24.781452
120.000000,25.283398
125.000000,25.708359
130.000000,26.056772
135.000000,26.316048
140.000000,26.540026
145.000000,26.736113
150.000000,26.892868
155.000000,26.939983
160.000000,26.707445
165.000000,27.207382
170.000000,27.455050
175.000000,27.626360
180.000000,27.777664
185.000000,27.922018
190.000000,28.064060
195.000000,28.205765
200.000000,28.347332
205.000000,28.485897
210.000000,28.609377
215.000000,28.668131
220.000000,28.438066
225.000000,28.025101
230.000000,28.815699
235.000000,29.350603
240.000000,29.724646
245.000000,30.072992
250.000000,30.444805
255.000000,30.870722
260.000000,31.383415
265.000000,32.021942
270.000000,32.869602
275.000000,34.011562
280.000000,35.373859
285.000000,35.266037
290.000000,30.344751
295.000000,24.028849
300.000000,21.925920
305.000000,23.140594
310.000000,24.472073
315.000000,25.469376
320.000000,26.215828
325.000000,26.798386
330.000000,27.272848
335.000000,27.673946
340.000000,28.023935
345.000000,28.337681
350.000000,28.625551
355.000000,28.895113
360.000000,29.152155
365.000000,29.401352
370.000000,29.646708
375.000000,29.891884
380.000000,30.147120
385.000000,30.402733
390.000000,30.669674
395.000000,30.952833
400.000000,31.258200
405.000000,31.593283
410.000000,31.967556
415.000000,32.394230
420.000000,32.881317
425.000000,33.419521
430.000000,33.929302
435.000000,34.285255
440.000000,34.632057
445.000000,34.451462
450.000000,32.511711
455.000000,28.967232
460.000000,25.709616
465.000000,24.439852
470.000000,24.650991
475.000000,25.049660
480.000000,25.326344
485.000000,25.873806
490.000000,26.593605
495.000000,27.244650
500.000000,27.785801
505.000000,28.240528
510.000000,28.622044
515.000000,28.932077
520.000000,29.127462
525.000000,29.100611
530.000000,28.841635
535.000000,28.717516
540.000000,28.884834
545.000000,29.158421
550.000000,29.429873
555.000000,29.675510
560.000000,29.896246
565.000000,30.097086
570.000000,30.282440
575.000000,30.455261
580.000000,30.616684
585.000000,30.765490
590.000000,30.898947
595.000000,31.022278
600.000000,31.156815
605.000000,31.309414
610.000000,31.467173
615.000000,31.621521
620.000000,31.768667
625.000000,31.905746
630.000000,32.036266
635.000000,32.175907
640.000000,32.329987
645.000000,32.483131
650.000000,32.613014
655.000000,32.687954
660.000000,32.671486
665.000000,32.582699
670.000000,32.544750
675.000000,32.634220
680.000000,32.797482
685.000000,32.957649
690.000000,33.058098
695.000000,33.057457
700.000000,32.963615
705.000000,32.890308
710.000000,32.968071
715.000000,33.187763
720.000000,33.458874
725.000000,33.718811
730.000000,33.959316
735.000000,34.207821
740.000000,34.487309
745.000000,34.795498
750.000000,35.117069
755.000000,35.436554
760.000000,35.739189
765.000000,36.014778
770.000000,36.275120
775.000000,36.559708
780.000000,36.897118
785.000000,37.282650
790.000000,37.699959
795.000000,38.142441
800.000000,38.618366
805.000000,39.141541
810.000000,39.721863
815.000000,40.361458
820.000000,41.048073
825.000000,41.743374
830.000000,42.366997
835.000000,42.789219
840.000000,42.845909
845.000000,42.413322
850.000000,41.494881
855.000000,40.218380
860.000000,38.739689
865.000000,37.174404
870.000000,35.587452
875.000000,34.008301
880.000000,32.447323
885.000000,30.906071
890.000000,29.384161
895.000000,27.881235
900.000000,26.408926
905.000000,24.992502
910.000000,23.677387
